classification,Coin,Closed PnL
Greed,HBAR,130.418054
Greed,HPOS,2744.068817
Greed,HYPE,166307.640065
Greed,HYPER,874.4737
Greed,ILV,541.473982
Greed,IMX,465.67249999999996
Greed,INIT,364.5007
Greed,INJ,3018.616524
Greed,IO,-21747.847017
Greed,IOTA,-2.454844
Greed,JELLY,10668.04374
Greed,JTO,8487.932974
Greed,JUP,43234.079594
Greed,KAITO,113.068789
Greed,LAYER,0.0
Greed,LDO,15.493535999999999
Greed,LINK,487.77298
Greed,LTC,22.68381
Greed,MANTA,179.92768999999998
Greed,MATIC,-246.629659
Greed,MAVIA,1855.514424
Greed,ME,5407.838932
Greed,MELANIA,73550.500324
Greed,MEME,839.063101
Greed,MERL,-3.17364
Greed,MEW,0.0
Greed,MINA,198.7045
Greed,MKR,5.263168
Greed,MOODENG,68.127641
Greed,MOVE,-105.56743700000001
Greed,MYRO,0.0
Greed,NEAR,1073.254531
Greed,NEIROETH,0.0
Greed,NTRN,1098.313553
Greed,ONDO,9830.81453
Greed,OP,6.306648
Greed,ORDI,63.69578
Greed,PENDLE,1328.211087
Greed,PENGU,5020.278249
Greed,PIXEL,94.69460000000001
Greed,PNUT,9491.958606
Greed,POPCAT,-9816.412248
Greed,PROMPT,1985.161667
Greed,PURR,3314.362879
Greed,PURR/USDC,14983.976218
Greed,PYTH,1118.5681419999999
Greed,RENDER,82.31715
Greed,RLB,75.947736
Greed,RNDR,9732.632186
Greed,RUNE,1328.8252109999999
Greed,SAND,573.822965
Greed,SEI,-922.781714
Greed,SHIA,273.568643
Greed,SOL,451690.01397699997
Greed,SPX,3490.225951
Greed,STG,179.54376000000002
Greed,STRK,-1608.81
Greed,STX,47.994885999999994
Greed,SUI,101637.557765
Greed,SUPER,7.091044
Greed,SUSHI,278.313568
Greed,TAO,2374.233545
Greed,TIA,4921.6745470000005
Greed,TNSR,2974.547001
Greed,TON,-17.947964
Greed,TRUMP,-432914.836315
Greed,TST,-177.198923
Greed,TURBO,916.649485
Greed,UNI,313.182412
Greed,UNIBOT,325.055769
Greed,USTC,259.617366
Greed,USUAL,19215.983896
Greed,VINE,44.167294
Greed,VIRTUAL,-2174.803249
Greed,VVV,556.482105
Greed,W,1218.404228
Greed,WIF,743.307147
Greed,WLD,8147.2458050000005
Greed,XRP,768.393924
Greed,YGG,7.876652
Greed,ZEN,-1475.390707
Greed,ZEREBRO,6155.199495
Greed,ZETA,2163.86907
Greed,ZK,1.6456
Greed,ZORA,6816.51283
Greed,ZRO,143815.507053
Greed,kBONK,-2021.400269
Greed,kFLOKI,46.630962
Greed,kNEIRO,8.159745000000001
Greed,kPEPE,-6949.144929
Greed,kSHIB,0.0
Neutral,@107,219551.950858
Neutral,@109,0.510213
Neutral,@138,19.530304
Neutral,@142,4615.868031
Neutral,@151,0.0
Neutral,@153,0.0
Neutral,@20,4.738087999999999
Neutral,@23,0.0
Neutral,@28,0.0
Neutral,@3,0.462514
Neutral,@38,0.0
Neutral,@4,-853.866594
Neutral,@41,0.0
Neutral,@42,0.0
Neutral,@44,0.0
Neutral,@51,0.0
Neutral,@59,0.0
Neutral,@74,0.0
Neutral,@78,0.0
Neutral,@8,0.0
Neutral,@83,-1044.789706
Neutral,@85,0.0
Neutral,@9,0.0
